Entity,Field,Type,Required,BOOST Description,Match Status,Real BioRAM Source,Source URL,Notes
BioramReporting,reportingPeriod,string,Yes,Reporting quarter in YYYY-QN format,Yes,CPUC Quarterly Reporting Requirement,https://www.cpuc.ca.gov/industries-and-topics/electrical-energy/electric-power-procurement/rps/rps-procurement-programs/rps-bioram,IOUs required to collect quarterly data from facilities
BioramReporting,totalBiomassVolume,number,Yes,Total biomass fuel consumed in bone dry tonnes,Yes,CPUC BioRAM Tracking - Total HHZ Delivered (BDT),https://www.cpuc.ca.gov/industries-and-topics/electrical-energy/electric-power-procurement/rps/rps-procurement-programs/rps-bioram,Tracked as Bone Dry Tons (BDT); ~1 BDT ≈ 1 MWh
BioramReporting,totalEnergyGenerated,number,Yes,Total electrical energy generated in MWh,Yes,CPUC BioRAM / Grid Metering,https://www.cpuc.ca.gov/industries-and-topics/electrical-energy/electric-power-procurement/rps/rps-procurement-programs/rps-bioram,Energy generation verified through grid interconnection metering
BioramReporting,overallEfficiency,number,Yes,Overall facility efficiency (fraction),Partial,SDG&E Project Description Form - Capacity Factor,PDF - SDG&E BioRAM Advice Letter 2878-E-A,Form tracks Capacity Factor; efficiency is derived metric
BioramReporting,efficiencyTarget,number,No,Contract efficiency target for BioRAM compliance,Partial,BioRAM PPA Contract Terms,https://www.cpuc.ca.gov/industries-and-topics/electrical-energy/electric-power-procurement/rps/rps-procurement-programs/rps-bioram,Contract-specific; not standardized across program
BioramReporting,complianceStatus,string (enum),Yes,Overall BioRAM compliance status for reporting period,Yes,CPUC Annual Audit / Price Penalty,https://www.cpuc.ca.gov/industries-and-topics/electrical-energy/electric-power-procurement/rps/rps-procurement-programs/rps-bioram,Non-compliance triggers price drop from ~$120/MWh to $89.23/MWh
BioramReporting,submissionDate,string (date-time),No,Date and time report was submitted to CEC,Partial,IOU Quarterly Collection,https://www.cpuc.ca.gov/industries-and-topics/electrical-energy/electric-power-procurement/rps/rps-procurement-programs/rps-bioram,Reports go to IOUs not directly to CEC
BioramReporting,verificationDate,string (date-time),No,Date of independent verification completion,Yes,IOU Annual Audit Requirement,https://www.cpuc.ca.gov/industries-and-topics/electrical-energy/electric-power-procurement/rps/rps-procurement-programs/rps-bioram,IOUs perform annual audits to verify HHZ feedstock
BioramReporting,verificationRequired,boolean,No,Whether third-party verification is required,Yes,IOU Annual Audit Requirement,https://www.cpuc.ca.gov/industries-and-topics/electrical-energy/electric-power-procurement/rps/rps-procurement-programs/rps-bioram,Annual verification required by program
BioramReporting,VerificationStatementId,string (FK),No,Reference to VerificationStatement for independent verification,Partial,IOU Audit Documentation,https://www.cpuc.ca.gov/industries-and-topics/electrical-energy/electric-power-procurement/rps/rps-procurement-programs/rps-bioram,BOOST internal linkage; real audits documented in IOU filings
BioramReporting,reportingDeadline,string (date),No,CEC deadline for BioRAM report submission,Partial,Quarterly/Annual Deadlines,https://www.cpuc.ca.gov/industries-and-topics/electrical-energy/electric-power-procurement/rps/rps-procurement-programs/rps-bioram,Deadlines exist but not publicly standardized
BioramReporting,transactionIds,array<string>,No,Transaction entity IDs for fuel procurement included in report,Partial,Fuel Tracking Protocols,https://www.cpuc.ca.gov/industries-and-topics/electrical-energy/electric-power-procurement/rps/rps-procurement-programs/rps-bioram,BOOST construct; real program tracks fuel deliveries not transactions
BioramReporting,fuelSourcingSummary,object,No,Summary of fuel sourcing compliance metrics,Yes,CPUC BioRAM HHZ Tracking,https://www.cpuc.ca.gov/industries-and-topics/electrical-energy/electric-power-procurement/rps/rps-procurement-programs/rps-bioram,Tracks: HHZ % Requirements / % from HHZ / Total HHZ Delivered (BDT)
BioramReporting,fuelSourcingSummary.fireHazardZoneBreakdown,object (nested),No,Volume breakdown by CAL FIRE hazard severity zones,Yes,CPUC BioRAM HHZ % Tracking,https://www.cpuc.ca.gov/industries-and-topics/electrical-energy/electric-power-procurement/rps/rps-procurement-programs/rps-bioram,Percentage of Total Biomass from HHZ tracked; ramp: 40%→50%→60%→80%
BioramReporting,performanceMetrics,object,No,Facility performance and grid contribution metrics,Partial,SDG&E Project Description Form Section N,PDF - SDG&E BioRAM Advice Letter 2878-E-A,Form asks for operational characteristics / delivery profile
BioramReporting,performanceMetrics.capacityFactor,number (nested),No,Facility capacity utilization for the reporting period,Yes,SDG&E Project Description Form Section C,PDF - SDG&E BioRAM Advice Letter 2878-E-A,Capacity Factor explicitly requested in project applications
BioramReporting,environmentalImpact,object,No,Environmental and fire hazard reduction benefits,Partial,Program Goals / SB 859,https://www.cpuc.ca.gov/industries-and-topics/electrical-energy/electric-power-procurement/rps/rps-procurement-programs/rps-bioram,Fire risk mitigation is program goal; CO2 not explicitly tracked in BioRAM
BioramReporting,environmentalImpact.fireRiskMitigation,object (nested),No,Acres treated and firebreak contributions,Yes,CAL FIRE / Program Goals,https://www.cpuc.ca.gov/industries-and-topics/electrical-energy/electric-power-procurement/rps/rps-procurement-programs/rps-bioram,Primary program objective is wildfire mitigation via fuel removal
BioramReporting,financialSummary,object,No,Financial performance and cost metrics,Partial,BioRAM Contract Pricing,https://www.cpuc.ca.gov/industries-and-topics/electrical-energy/electric-power-procurement/rps/rps-procurement-programs/rps-bioram,Contract price ~$120/MWh; penalty price $89.23/MWh
BioramReporting,financialSummary.contractPricePerMWh,number (nested),No,BioRAM contract price per megawatt-hour,Yes,CPUC BioRAM Pricing,https://www.cpuc.ca.gov/industries-and-topics/electrical-energy/electric-power-procurement/rps/rps-procurement-programs/rps-bioram,~$120/MWh standard; drops to $89.23/MWh on non-compliance
BioramReporting,@id,string (uri),Yes,Unique URI identifier for JSON-LD,No Match,N/A - BOOST internal construct,N/A,JSON-LD identifier for BOOST system
BioramReporting,lastUpdated,string (date-time),No,Timestamp of most recent report update,No Match,N/A - BOOST internal construct,N/A,Internal tracking field
GAP,hhzPercentageTarget,number,N/A,Target HHZ fuel percentage for the reporting year,Missing in BOOST,CPUC BioRAM HHZ Requirements,https://www.cpuc.ca.gov/industries-and-topics/electrical-energy/electric-power-procurement/rps/rps-procurement-programs/rps-bioram,Critical field: 40% (2016) → 50% (2017) → 60% (2018) → 80% (2019+)
GAP,hhzPercentageActual,number,N/A,Actual HHZ fuel percentage achieved,Missing in BOOST,CPUC BioRAM HHZ Tracking,https://www.cpuc.ca.gov/industries-and-topics/electrical-energy/electric-power-procurement/rps/rps-procurement-programs/rps-bioram,Percentage of Total Biomass Feedstock from HHZ Fuel
GAP,totalHhzDeliveredBDT,number,N/A,Total HHZ fuel delivered in Bone Dry Tons,Missing in BOOST,CPUC BioRAM Tracking,https://www.cpuc.ca.gov/industries-and-topics/electrical-energy/electric-power-procurement/rps/rps-procurement-programs/rps-bioram,Total HHZ Delivered (Bone Dry Tons) - key compliance metric
GAP,totalHhzUsageToDateBDT,number,N/A,Cumulative HHZ usage in Bone Dry Tons,Missing in BOOST,CPUC BioRAM Tracking,https://www.cpuc.ca.gov/industries-and-topics/electrical-energy/electric-power-procurement/rps/rps-procurement-programs/rps-bioram,Total HHZ Usage To-Date (Bone Dry Tons)
GAP,hhzTierBreakdown,object,N/A,Breakdown of fuel by HHZ Tier (1/2/3),Missing in BOOST,SB 901 / CAL FIRE Tier Maps,https://www.cpuc.ca.gov/industries-and-topics/electrical-energy/electric-power-procurement/rps/rps-procurement-programs/rps-bioram,Tier 1 vs Tier 2 HHZ sourcing (60% from Tier 1 required in BioRAM II)
GAP,nameplateMW,number,N/A,Facility nameplate capacity in MW,Missing in BOOST,SDG&E Project Description Form Section C,PDF - SDG&E BioRAM Advice Letter 2878-E-A,Nameplate MW AC at 100% project completion
GAP,netContractMW,number,N/A,Net contract capacity in MW,Missing in BOOST,SDG&E Project Description Form Section C,PDF - SDG&E BioRAM Advice Letter 2878-E-A,Net Contract MW AC at 100% project completion
GAP,serviceTerritory,string,N/A,IOU service territory (PG&E/SCE/SDG&E),Missing in BOOST,SDG&E Project Description Form Section C,PDF - SDG&E BioRAM Advice Letter 2878-E-A,Project service territory determines contracting IOU
GAP,interconnectionQueuePosition,string,N/A,CAISO/WDAT interconnection queue position,Missing in BOOST,SDG&E Project Description Form Section G,PDF - SDG&E BioRAM Advice Letter 2878-E-A,Queue Position for grid interconnection
GAP,fcdsStatus,string,N/A,Full Capacity Deliverability Status,Missing in BOOST,SDG&E Project Description Form Section G,PDF - SDG&E BioRAM Advice Letter 2878-E-A,FCDS vs Energy Only bid type
GAP,ppaDeliveryTerm,number,N/A,PPA contract term in years,Missing in BOOST,SDG&E Project Description Form Section E,PDF - SDG&E BioRAM Advice Letter 2878-E-A,Delivery Term: 5/10/15/20 years
GAP,cecRpsCertificationNumber,string,N/A,CEC RPS certification number,Missing in BOOST,SDG&E Project Description Form Section L,PDF - SDG&E BioRAM Advice Letter 2878-E-A,CEC RPS Certification No. for eligible renewable resource
